Kalman: No, Frame: 13, Points: [[-7, -22, -220], [13, -22, -220], [-7, -2, -220], [13, -2, -220], [-7, -22, -200], [13, -22, -200], [-7, -2, -200], [13, -2, -200]]
Kalman: No, Frame: 13, Points: [[-3187, 362, 3593], [-3167, 362, 3593], [-3187, 382, 3593], [-3167, 382, 3593], [-3187, 362, 3613], [-3167, 362, 3613], [-3187, 382, 3613], [-3167, 382, 3613]]
Kalman: Yes, Frame: 14, Points: [[-75, 229, 3593], [-55, 229, 3593], [-75, 249, 3593], [-55, 249, 3593], [-75, 229, 3613], [-55, 229, 3613], [-75, 249, 3613], [-55, 249, 3613]]
Kalman: No, Frame: 14, Points: [[-75, 229, 3593], [-55, 229, 3593], [-75, 249, 3593], [-55, 249, 3593], [-75, 229, 3613], [-55, 229, 3613], [-75, 249, 3613], [-55, 249, 3613]]
Kalman: Yes, Frame: 15, Points: [[-7, -22, -220], [13, -22, -220], [-7, -2, -220], [13, -2, -220], [-7, -22, -200], [13, -22, -200], [-7, -2, -200], [13, -2, -200]]
Kalman: No, Frame: 15, Points: [[-6, -22, -221], [14, -22, -221], [-6, -2, -221], [14, -2, -221], [-6, -22, -201], [14, -22, -201], [-6, -2, -201], [14, -2, -201]]
Kalman: Yes, Frame: 16, Points: [[-6, -22, -221], [14, -22, -221], [-6, -2, -221], [14, -2, -221], [-6, -22, -201], [14, -22, -201], [-6, -2, -201], [14, -2, -201]]
Kalman: No, Frame: 16, Points: [[-5, -21, -220], [15, -21, -220], [-5, -1, -220], [15, -1, -220], [-5, -21, -200], [15, -21, -200], [-5, -1, -200], [15, -1, -200]]
Kalman: Yes, Frame: 17, Points: [[-5, -22, -221], [15, -22, -221], [-5, -2, -221], [15, -2, -221], [-5, -22, -201], [15, -22, -201], [-5, -2, -201], [15, -2, -201]]
Kalman: No, Frame: 17, Points: [[-5, -22, -220], [15, -22, -220], [-5, -2, -220], [15, -2, -220], [-5, -22, -200], [15, -22, -200], [-5, -2, -200], [15, -2, -200]]
Kalman: Yes, Frame: 18, Points: [[-4, -22, -221], [16, -22, -221], [-4, -2, -221], [16, -2, -221], [-4, -22, -201], [16, -22, -201], [-4, -2, -201], [16, -2, -201]]
Kalman: No, Frame: 18, Points: [[-4, -21, -218], [16, -21, -218], [-4, -1, -218], [16, -1, -218], [-4, -21, -198], [16, -21, -198], [-4, -1, -198], [16, -1, -198]]
Kalman: Yes, Frame: 19, Points: [[-4, -22, -221], [16, -22, -221], [-4, -2, -221], [16, -2, -221], [-4, -22, -201], [16, -22, -201], [-4, -2, -201], [16, -2, -201]]
Kalman: No, Frame: 19, Points: [[-4, -21, -215], [16, -21, -215], [-4, -1, -215], [16, -1, -215], [-4, -21, -195], [16, -21, -195], [-4, -1, -195], [16, -1, -195]]
Kalman: Yes, Frame: 20, Points: [[-3, -22, -221], [17, -22, -221], [-3, -2, -221], [17, -2, -221], [-3, -22, -201], [17, -22, -201], [-3, -2, -201], [17, -2, -201]]
Kalman: No, Frame: 20, Points: [[-3, -21, -220], [17, -21, -220], [-3, -1, -220], [17, -1, -220], [-3, -21, -200], [17, -21, -200], [-3, -1, -200], [17, -1, -200]]
Kalman: Yes, Frame: 21, Points: [[-2, -22, -221], [18, -22, -221], [-2, -2, -221], [18, -2, -221], [-2, -22, -201], [18, -22, -201], [-2, -2, -201], [18, -2, -201]]
